event_id,game_id,timestamp_ms,point_index,type,payload
1,1,1717012345000,0,point-start,"{""lineA"":[1,2,3,4,5,6,7],""lineB"":[8,9,10,11,12,13,14]}"
2,1,1717012360000,0,pull,"{""playerId"":3,""teamId"":""A""}"
3,1,1717012375000,0,possession,"{""playerId"":11,""teamId"":""B""}"
4,1,1717012390000,0,possession,"{""playerId"":12,""teamId"":""B""}"
5,1,1717012405000,0,goal,"{""playerId"":14,""teamId"":""B""}"
6,1,1717012450000,1,point-start,"{""lineA"":[1,2,3,4,5,6,7],""lineB"":[8,9,10,11,12,13,14]}"
7,1,1717012465000,1,pull,"{""playerId"":11,""teamId"":""B""}"
8,1,1717012480000,1,possession,"{""playerId"":2,""teamId"":""A""}"
9,1,1717012495000,1,turnover-throw-away,"{""playerId"":2,""teamId"":""A""}"
10,1,1717012510000,1,possession,"{""playerId"":10,""teamId"":""B""}"
11,1,1717012525000,1,goal,"{""playerId"":9,""teamId"":""B""}"
12,1,1717012570000,2,point-start,"{""lineA"":[1,2,4,5,6,7,15],""lineB"":[8,9,10,11,12,13,14]}"
13,1,1717012585000,2,pull,"{""playerId"":9,""teamId"":""B""}"
14,1,1717012600000,2,possession,"{""playerId"":4,""teamId"":""A""}"
15,1,1717012615000,2,possession,"{""playerId"":7,""teamId"":""A""}"
16,1,1717012630000,2,goal,"{""playerId"":1,""teamId"":""A""}"
